"Program Address","Load Address","Program Data","Read Address","Read Data","Read Size (In Bits)","Write Address","Write Data","Write Size (In Bits)","Cycles","Stall Cycle Data","Memory/Cache Event","External Event","Target State Data","Trace Status","Stall Event Names","Memory Event Names","Function","Disassembly"
"","","","","","","","","","","","","","","Start of trace","","","UNKNOWN",""
"","","","","","","","","","","","","","","Incomplete frame, Missing start of frame marker, disable circular buffering or assure collection is started before running target.","","","UNKNOWN",""
"0022b2ac","0022b2ac","c03402b6","","","","","","0008","000001","","","","","","","","m_ater_process_egress","    [ A0]  STB.D2T2      B0,*+B13[0]"
"0022b2e8","0022b2e8","00009dcd","","","0008","","","","000001","","","","","","","","m_ater_process_egress","           LDW.D2T2      *B15[12],B4"
"0022b2ea","0022b2ea","0000c452","","","","","","","","","","","","","","","m_ater_process_egress"," ||        ADD.L1        A3,8,A2"
"0022b2ec","0022b2ec","05a01fd9","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MV.L1X        B8,A11"
"0022b2f0","0022b2f0","00001c73","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MVK.S2        248,B0"
"0022b2f2","0022b2f2","00002822","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L2        B0,B0,B0"
"0022b2f4","0022b2f4","0001298a","","","","","","","","","","","","","","","m_ater_process_egress"," ||        SET.S2        B0,9,9,B0"
"0022b2f8","0022b2f8","05001c2b","","","","","","","000001","","","","","","","","m_ater_process_egress","           MVK.S2        0x0038,B10"
"0022b300","0022b300","062c1078","","","","","","","","","","","","","","","m_ater_process_egress"," ||        ADD.L1X       A0,B11,A12"
"0022b304","0022b304","00201fd8","","","","","","","000001","","","","","","","","m_ater_process_egress","           MV.L1X        B8,A0"
"0022b308","0022b308","c0010910","","","","","","","000001","","","","","","","","m_ater_process_egress","    [ A0]  B.S1          0x22bb48"
"0022b30c","0022b30c","d01002e4","","","0020","","","","000001","","","","","","","","m_ater_process_egress","    [!A0]  LDW.D2T1      *+B4[0],A0"
"0022b310","0022b310","06801d28","","","","","","","000001","","","","","","","","m_ater_process_egress","           MVK.S1        0x003a,A13"
"0022b314","0022b314","002c007a","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L2        B0,B11,B0"
"0022b318","0022b318","0700c028","","","","","","","000001","","","","","","","","m_ater_process_egress","           MVK.S1        0x0180,A14"
"0022b31c","0022b31c","05001fd8","","","","","","","000001","","","","","","","","m_ater_process_egress","           MV.L1X        B0,A10"
"0022b320","0022b320","0000e842","","","","","","","000001","","","","","","","","m_ater_process_egress","           CLR.S1        A0,15,15,A0"
"0022b322","0022b322","00000005","","","","","","0008","000001","","","","","","","","m_ater_process_egress","           STW.D1T1      A3,*A4[0]"
"0022b324","0022b324","00340294","","","0008","","","","000001","","","","","","","","m_ater_process_egress","           LDBU.D2T1     *+B13[0],A0"
"0022b328","0022b328","00342296","","","0008","","","","000001","","","","","","","","m_ater_process_egress","           LDBU.D2T2     *+B13[1],B0"
"0022b32c","0022b32c","00004000","","","","","","","000003","","","","","","","","m_ater_process_egress","           NOP           3"
"0022b330","0022b330","02019008","","","","","","","000001","","","","","","","","m_ater_process_egress","           EXTU.S1       A0,12,16,A4"
"0022b330","0022b330","02019008","","","","","","","000016","","","","","Pipeline stall","","","m_ater_process_egress","           EXTU.S1       A0,12,16,A4"
"0022b334","0022b334","0201900a","","","","","","","000001","","","","","","","","m_ater_process_egress","           EXTU.S2       B0,12,16,B4"
"0022b334","0022b334","0201900a","","","","","","","000001","","","","","Pipeline stall","","","m_ater_process_egress","           EXTU.S2       B0,12,16,B4"
"0022b338","0022b338","1fde8012","","","","","","","000006","","","","","","","","m_ater_process_egress","           CALLP.S2      0x21a720,B3"
"0022b338","0022b338","1fde8012","","","","","","","000016","","","","","Pipeline stall","","","m_ater_process_egress","           CALLP.S2      0x21a720,B3"
"0021a720","0021a720","0000a226","","","","","","","000001","","","","","","","","l_upd_get_bitrate","           CMPEQ.L1      5,A4,A0"
"0021a722","0021a722","0000024f","","","","","","","","","","","","","","","l_upd_get_bitrate"," ||        ADD.L1        A0,A2,A1"
"0021a724","0021a724","0110ea5b","","","","","","","","","","","","","","","l_upd_get_bitrate"," ||        CMPEQ.L2      7,B4,B2"
"0021a728","0021a728","0000624e","","","","","","","","","","","","","","","l_upd_get_bitrate"," ||        MV.S1         A4,A3"
"0021a72a","0021a72a","0000e12a","","","","","","","000006","","","","","","","","l_upd_get_bitrate","           ADD.L1        A0,A1,A1"
"0021a72c","0021a72c","0090da5a","","","","","","","","","","","","","","","l_upd_get_bitrate"," ||        CMPEQ.L2X     6,A4,B1"
"0021a828","0021a828","6018a123","","","","","","","000006","","","","","","","","l_upd_get_bitrate","    [ B2]  BNOP.S2       0x21a880,5"
"0021a82c","0021a82c","0080ca5b","","","","","","","","","","","","","","","l_upd_get_bitrate"," ||        CMPEQ.L2      6,B0,B1"
"0021a830","0021a830","6217d428","","","","","","","","","","","","","","","l_upd_get_bitrate"," || [ B2]  MVK.S1        0x2fa8,A4"
"0021a880","0021a880","008ca362","","","","","","","000006","","","","","","","","l_upd_get_bitrate","           BNOP.S2       B3,5"
"0022b340","0022b340","00004246","","","","","","","000001","","","","","","","","m_ater_process_egress","           MV.L1         A4,A2"
"0022b342","0022b342","0000958e","","","","","","","","","","","","","","","m_ater_process_egress"," ||        LDHU.D2T2     *B4[4],B0"
"0022b344","0022b344","00009507","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MV.L2X        A10,B4"
"0022b346","0022b346","0000920d","","","0010","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L2        B0,B1,B1"
"0022b348","0022b348","0091ca04","","","0010","","","","","","","","","","","","m_ater_process_egress"," ||        LDHU.D1T1     *+A4[A14],A1"
"0022b34c","0022b34c","01300254","","","","","","0010","000001","","","","","","","","m_ater_process_egress","           STH.D1T1      A2,*+A12[0]"
"0022b350","0022b350","00004c6e","","","","","","","000003","","","","","","","","m_ater_process_egress","           NOP           3"
"0022b352","0022b352","000000a6","","","","","","","000001","","","","","","","","m_ater_process_egress","           STW.D1T1      A3,*A5[0]"
"0022b354","0022b354","00b41a7a","","","","","","","","","","","","","","","m_ater_process_egress"," ||        CMPEQ.L2X     B0,A13,B1"
"0022b358","0022b358","00055a7a","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPEQ.L2X     B10,A1,B0"
"0022b360","0022b360","00001429","","","","","","","000001","","","","","","","","m_ater_process_egress","           OR.L2X        B0,A0,B0"
"0022b362","0022b362","000004a9","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.S1        A1,A0,A0"
"0022b364","0022b364","200a8121","","","","","","","000005","","","","","","","","m_ater_process_egress","    [ B0]  BNOP.S1       0x22b374,4"
"0022b368","0022b368","3030c204","","","0010","","","","","","","","","","","","m_ater_process_egress"," || [!B0]  LDHU.D1T1     *+A12[6],A0"
"0022b36c","0022b36c","00002058","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L1        1,A0,A0"
"0022b374","0022b374","0000100d","","","0008","","","","000001","","","","","","","","m_ater_process_egress","           LDW.D2T2      *B4[0],B0"
"0022b376","0022b376","000094f3","","","","","","","000001","","","","","","","","m_ater_process_egress","           STW.D2T1      A0,*B5[0]"
"0022b378","0022b378","0085298a","","","","","","","000001","","","","","","","","m_ater_process_egress","           SET.S2        B1,9,9,B1"
"0022b380","0022b380","052c207a","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L2        B1,B11,B10"
"0022b384","0022b384","0000b507","","","","","","","000001","","","","","","","","m_ater_process_egress","           MV.L2X        A10,B5"
"0022b386","0022b386","00009003","","","","","","","000001","","","","","","","","m_ater_process_egress","           ADD.L1        A1,A0,A0"
"0022b388","0022b388","2000f691","","","","","","","000001","","","","","","","","m_ater_process_egress","    [ B0]  B.S1          0x22bb34"
"0022b38c","0022b38c","32281fd8","","","","","","","","","","","","","","","m_ater_process_egress"," || [!B0]  MV.L1X        B10,A4"
